"id","deck_id","card_id","quantity"
1,3,1036,2
2,3,391,4
3,3,855,4
4,3,1060,4
5,3,1169,2
6,3,219,4
7,3,220,3
8,3,223,4
9,3,567,4
10,3,38,4
11,3,225,4
12,3,838,3
13,3,500,4
14,3,43,4
15,3,857,3
16,3,1063,2
17,3,1102,1
18,3,919,4
19,4,1047,2
20,4,1136,3
21,4,943,3
22,4,470,4
23,4,1000,1
24,4,1183,2
25,4,301,4
26,4,1119,3
27,4,1001,3
28,4,980,2
29,4,449,3
30,4,166,3
31,4,157,3
32,4,1056,2
33,4,963,4
34,4,285,1
35,4,623,2
36,4,684,3
37,4,124,4
38,4,830,4
39,4,1180,4
40,5,1029,3
41,5,511,1
42,5,778,3
43,5,782,3
44,5,862,4
45,5,728,4
46,5,536,3
47,5,585,2
48,5,524,3
49,5,730,3
50,5,195,4
51,5,594,3
52,5,381,1
53,5,523,3
54,5,181,4
55,5,432,2
56,5,151,2
57,5,207,3
58,5,208,4
59,5,528,4
60,5,733,1
61,6,363,4
62,6,782,4
63,6,416,4
64,6,728,4
65,6,536,4
66,6,1017,4
67,6,372,4
68,6,512,4
69,6,9,4
70,6,593,4
71,6,594,4
72,6,523,4
73,6,769,4
74,6,528,4
75,6,389,4
76,7,1118,2
77,7,777,1
78,7,772,2
79,7,316,3
80,7,778,4
81,7,782,4
82,7,862,4
83,7,579,2
84,7,1017,1
85,7,524,1
86,7,1090,4
87,7,424,2
88,7,784,2
89,7,500,4
90,7,505,4
91,7,522,4
92,7,1092,4
93,7,528,4
94,7,516,4
95,7,1148,3
96,7,1191,2
97,8,772,4
98,8,778,4
99,8,862,4
100,8,416,4
101,8,750,4
102,8,1038,4
103,8,524,4
104,8,220,4
105,8,223,4
106,8,224,3
107,8,225,4
108,8,226,4
109,8,432,4
110,8,881,2
111,8,528,4
112,8,694,3
113,9,739,4
114,9,152,3
115,9,750,3
116,9,1038,4
117,9,299,1
118,9,112,2
119,9,822,1
120,9,1065,2
121,9,746,4
122,9,220,4
123,9,223,4
124,9,224,4
125,9,225,4
126,9,832,2
127,9,226,4
128,9,169,2
129,9,866,1
130,9,1056,2
131,9,409,4
132,9,830,4
133,9,234,1
134,10,667,4
135,10,668,4
136,10,37,4
137,10,399,4
138,10,567,4
139,10,331,4
140,10,568,4
141,10,400,4
142,10,401,4
143,10,838,4
144,10,691,4
145,10,153,4
146,10,986,4
147,10,882,4
148,10,934,2
149,10,689,2
150,11,1134,4
151,11,1136,4
152,11,416,4
153,11,681,4
154,11,581,4
155,11,683,4
156,11,904,4
157,11,1076,4
158,11,613,2
159,11,157,4
160,11,256,4
161,11,430,2
162,11,865,4
163,11,1044,4
164,11,528,4
165,11,1148,4
166,12,2,4
167,12,579,2
168,12,681,4
169,12,581,4
170,12,904,2
171,12,512,4
172,12,1068,3
173,12,256,4
174,12,432,4
175,12,1044,4
176,12,1098,4
177,12,600,4
178,12,1131,3
179,12,528,4
180,12,1148,4
181,12,1035,4
182,12,1191,2
183,13,555,2
184,13,391,4
185,13,294,2
186,13,739,3
187,13,152,3
188,13,750,4
189,13,1038,4
190,13,112,2
191,13,822,2
192,13,1065,2
193,13,746,2
194,13,220,4
195,13,223,4
196,13,224,4
197,13,225,3
198,13,226,4
199,13,169,3
200,13,866,2
201,13,919,4
202,13,830,4
203,13,234,2
204,14,1058,3
205,14,1118,2
206,14,159,2
207,14,873,4
208,14,1002,4
209,14,1000,2
210,14,301,4
211,14,1119,4
212,14,329,4
213,14,1065,2
214,14,980,2
215,14,866,2
216,14,816,2
217,14,963,4
218,14,857,4
219,14,854,2
220,14,124,4
221,14,161,2
222,14,830,3
223,14,1180,4
224,15,628,4
225,15,685,2
226,15,728,4
227,15,536,4
228,15,304,2
229,15,9,4
230,15,890,2
231,15,169,4
232,15,381,3
233,15,523,4
234,15,917,2
235,15,181,4
236,15,1098,2
237,15,207,4
238,15,208,4
239,15,389,4
240,15,909,3
241,15,1069,4
242,16,1058,4
243,16,1118,3
244,16,2,4
245,16,341,4
246,16,728,3
247,16,723,2
248,16,1061,2
249,16,1142,1
250,16,329,4
251,16,1090,4
252,16,500,4
253,16,858,3
254,16,181,4
255,16,505,4
256,16,522,4
257,16,854,2
258,16,1092,4
259,16,1098,4
260,17,869,2
261,17,852,3
262,17,851,2
263,17,805,3
264,17,864,3
265,17,843,3
266,17,1188,2
267,17,848,3
268,17,853,4
269,17,795,2
270,17,838,3
271,17,809,3
272,17,927,4
273,17,1025,3
274,17,808,3
275,17,835,3
276,17,854,4
277,17,839,4
278,17,842,2
279,17,868,2
280,17,874,2
281,18,1134,4
282,18,1136,4
283,18,416,4
284,18,57,4
285,18,683,4
286,18,1076,4
287,18,252,2
288,18,157,4
289,18,593,4
290,18,620,2
291,18,594,4
292,18,256,4
293,18,865,4
294,18,1044,4
295,18,528,4
296,18,1148,4
297,19,1047,4
298,19,1136,4
299,19,391,4
300,19,750,3
301,19,1038,4
302,19,446,2
303,19,219,4
304,19,220,4
305,19,223,4
306,19,567,4
307,19,39,3
308,19,157,4
309,19,224,2
310,19,225,3
311,19,226,4
312,19,919,3
313,19,881,4
314,20,1036,4
315,20,391,4
316,20,855,4
317,20,1060,4
318,20,1169,2
319,20,219,4
320,20,220,4
321,20,223,4
322,20,567,4
323,20,38,4
