Normal,Foil,Name,Set,Card Number,Color,Rarity,Price,Foil Price
3,0,"Ariel - On Human Legs",001,1,Amber,Uncommon,"$0.07","$0.43"
0,0,"Ariel - Spectacular Singer",001,2,Amber,Super Rare,"$5.29","$20.56"
3,0,"Cinderella - Gentle and Kind",001,3,Amber,Uncommon,"$0.08","$0.40"
0,0,"Goofy - Musketeer",001,4,Amber,Uncommon,"$0.16","$0.37"
0,0,"Hades - King of Olympus",001,5,Amber,Rare,"$0.27","$0.42"
1,0,"Hades - Lord of the Underworld",001,6,Amber,Rare,"$0.15","$2.34"
2,0,"HeiHei - Boat Snack",001,7,Amber,Common,"$0.04","$0.22"
2,0,"LeFou - Bumbler",001,8,Amber,Uncommon,"$0.07","$0.28"
1,0,"Lilo - Making a Wish",001,9,Amber,Rare,"$6.44","$8.77"
0,0,"Maximus - Palace Horse",001,10,Amber,Super Rare,"$0.42","$1.23"
2,0,"Maximus - Relentless Pursuer",001,11,Amber,Uncommon,"$0.06","$0.32"
3,0,"Mickey Mouse - True Friend",001,12,Amber,Uncommon,"$0.06","$0.60"
3,0,"Minnie Mouse - Beloved Princess",001,13,Amber,Common,"$0.06","$0.21"
0,1,"Moana - Of Motunui",001,14,Amber,Rare,"$0.24","$0.24"
0,0,"Mr. Smee - Loyal First Mate",001,15,Amber,Common,"$0.08","$0.18"
0,0,"Prince Phillip - Dragonslayer",001,16,Amber,Uncommon,"$0.07","$0.34"
0,0,"Pumbaa - Friendly Warthog",001,17,Amber,Common,"$0.07","$0.17"
0,0,"Rapunzel - Gifted with Healing",001,18,Amber,Legendary,"$43.62","$74.62"
2,0,"Sebastian - Court Composer",001,19,Amber,Common,"$0.07","$0.23"
1,0,"Simba - Protective Cub",001,20,Amber,Common,"$0.23","$0.98"
0,0,"Stitch - Carefree Surfer",001,21,Amber,Legendary,"$6.26","$25.82"
3,0,"Stitch - New Dog",001,22,Amber,Common,"$0.12","$0.59"
1,0,"Stitch - Rock Star",001,23,Amber,Super Rare,"$1.72","$5.68"
0,0,"Timon - Grub Rustler",001,24,Amber,Common,"$0.07","$0.18"
2,0,"Be Our Guest",001,25,Amber,Uncommon,"$0.16","$0.96"
4,0,"Control Your Temper!",001,26,Amber,Common,"$0.05","$0.16"
2,0,"Hakuna Matata",001,27,Amber,Common,"$0.08","$0.22"
2,0,"Healing Glow",001,28,Amber,Common,"$0.06","$0.19"
0,0,"Just in Time",001,29,Amber,Rare,"$0.46","$1.50"
1,0,"Part of Your World",001,30,Amber,Rare,"$0.18","$1.48"
0,0,"You Have Forgotten Me",001,31,Amber,Uncommon,"$0.25","$2.23"
