Card Name,Set Number,Card Number,Ink Color,Ink Cost,Inkable,Quantity Available
Madam Mim - Fox,2,46,AMETHYST,3,True,1
Friends on the Other Side,1,64,AMETHYST,3,True,3
Merlin - Goat,2,51,AMETHYST,4,True,3
Madam Mim - Snake,2,49,AMETHYST,2,True,3
Merlin - Rabbit,2,52,AMETHYST,4,False,1
Chernabog's Followers - Creatures of Evil,3,36,AMETHYST,1,True,1
Mr. Smee - Bumbling Mate,3,184,STEEL,2,True,1
Merlin - Crab,2,50,AMETHYST,3,True,2
Pawpsicle,2,169,SAPPHIRE,1,True,3
Pete - Games Referee,5,195,STEEL,3,True,2
The Queen's Castle - Mirror Chamber,3,67,AMETHYST,4,True,1
Grab Your Sword,1,198,STEEL,5,False,1
The Library - A Gift for Belle,5,68,AMETHYST,3,True,1
Hiram Flaversham - Toymaker,2,149,SAPPHIRE,4,True,1
Robin Hood - Beloved Outlaw,3,189,STEEL,1,True,3
A Whole New World,1,195,STEEL,5,False,1
Elsa - The Fifth Spirit,5,48,AMETHYST,5,True,2
Robin Hood - Champion of Sherwood,3,221,STEEL,5,True,1
Lucky Dime,3,165,SAPPHIRE,7,False,1
Madame Medusa - The Boss,3,112,RUBY,6,False,1
Mickey Mouse - Detective,1,8,SAPPHIRE,3,False,6
Piglet - Pooh Pirate Captain,3,223,AMBER,2,True,1
We Don't Talk About Bruno,4,213,EMERALD,5,True,1
You're Welcome,5,213,EMERALD,4,True,1
The Queen - Commanding Presence,2,26,AMBER,5,True,1
The Queen - Regal Monarch,2,27,AMBER,1,True,3
Cursed Merfolk - Ursula's Handiwork,3,70,EMERALD,1,False,1
One Jump Ahead,1,164,SAPPHIRE,2,False,2
Kit Cloudkicker - Tough Guy,3,26,EMERALD,3,True,3
Kuzco - Selfish Emperor,5,149,SAPPHIRE,6,True,1
Sisu - Emboldened Warrior,4,124,RUBY,3,True,1
Fire the Cannons!,1,197,STEEL,1,False,3
Donald Duck - Musketeer Soldier,4,8,AMBER,3,True,1
Pegasus - Gift for Hercules,4,84,EMERALD,1,True,1
Lilo - Making a Wish,1,9,AMBER,1,False,1
Diablo - Maleficent's Spy,4,71,EMERALD,1,True,2
Fortisphere,4,200,STEEL,1,True,2
Ba-Boom!,3,196,STEEL,2,True,2
Ice Block,4,168,SAPPHIRE,1,False,1
Flynn Rider - Charming Rogue,1,74,EMERALD,2,True,1
Captain Hook - Forceful Duelist,1,7,STEEL,1,True,3
The Muses - Proclaimers of Heroes,4,90,EMERALD,4,True,1
Cogsworth - Illuminary Watchman,5,37,AMETHYST,1,True,1
Benja - Guardian of the Dragon Gem,2,174,STEEL,3,True,4
Gramma Tala - Keeper of Ancient Stories,3,142,SAPPHIRE,4,True,3
Flynn Rider - Frenemy,4,106,RUBY,2,True,1
Goofy - Super Goof,4,214,RUBY,4,True,1
Kuzco - Wanted Llama,2,45,AMETHYST,2,True,3
Maleficent - Sorceress,1,49,AMETHYST,3,True,3
Cri-Kee - Lucky Cricket,4,69,EMERALD,5,True,1
Sisu - Daring Visitor,4,123,RUBY,3,False,1
Smash,1,200,STEEL,3,True,4
Simba - Protective Cub,1,20,AMBER,2,True,1
Mother Gothel - Unwavering Schemer,5,92,EMERALD,6,True,1
Lawrence - Jealous Manservant,2,186,STEEL,3,True,2
Mother Knows Best,1,95,EMERALD,3,False,3
Dragon Fire,1,1,RUBY,5,False,5
Mulan - Injured Soldier,4,116,RUBY,1,True,1
Pascal - Rapunzel’s Companion,1,53,AMETHYST,1,True,2
Ursula - Vanessa,4,25,AMBER,2,True,1
Sir Hiss - Aggravating Asp,3,86,EMERALD,2,True,5
Great Stone Dragon,4,167,SAPPHIRE,3,True,5
Doc - Leader of the Seven Dwarfs,2,5,AMBER,3,True,2
Sven - Reindeer Steed,5,23,AMBER,4,True,1
Mickey Mouse - Food Fight Defender,5,176,STEEL,1,True,1
Aurora - Dreaming Guardian,1,213,SAPPHIRE,5,True,1
Gaston - Intellectual Powerhouse,2,147,SAPPHIRE,6,False,2
Anna - Braving the Storm,4,137,SAPPHIRE,2,True,4
Be Our Guest,1,25,AMBER,2,True,2
Wendy Darling - Talented Sailor,3,23,AMBER,2,True,4
Jim Hawkins - Space Traveler,3,109,RUBY,5,True,1
Anna - True-Hearted,4,217,SAPPHIRE,4,True,1
Simba - Son of Mufasa,5,192,STEEL,6,True,3
Chicha - Dedicated Mother,5,5,SAPPHIRE,2,False,1
Vitalisphere,4,134,RUBY,1,True,2
Develop Your Brain,1,161,SAPPHIRE,1,True,3
Olaf - Friendly Snowman,1,52,AMETHYST,1,True,3
Kida - Atlantean,3,6,AMBER,1,True,4
Robin Hood - Daydreamer,3,84,EMERALD,6,True,2
Strike a Good Match,3,96,EMERALD,2,True,4
Be King Undisputed,4,129,RUBY,4,False,1
Aurora - Regal Princess,1,140,SAPPHIRE,2,True,6
Rise of the Titans,3,198,STEEL,3,True,1
Minnie Mouse - Always Classy,1,116,RUBY,1,True,3
Cinderella - Knight in Training,2,14,STEEL,2,True,2
Dolores Madrigal - Easy Listener,4,41,AMETHYST,4,True,4
Hypnotize,2,98,EMERALD,3,True,3
Julieta Madrigal - Excellent Cook,4,13,AMBER,3,True,3
Magic Broom - Aerial Cleaner,4,185,STEEL,2,True,1
Mickey Mouse - Playful Sorcerer,4,225,STEEL,5,True,1
McDuck Manor - Scrooge's Mansion,3,169,SAPPHIRE,4,True,2
Shield of Virtue,1,135,RUBY,1,True,2
Magic Broom - Bucket Brigade,1,47,AMETHYST,2,True,3
Tinker Bell - Most Helpful,1,93,EMERALD,4,True,1
Pluto - Friendly Pooch,3,18,AMBER,1,False,3
Painting the Roses Red,2,30,AMBER,2,True,2
Hades - Lord of the Underworld,1,6,AMBER,4,False,1
LeFou - Instigator,1,112,RUBY,2,True,1
Mickey Mouse - Wayward Sorcerer,1,208,AMETHYST,4,True,1
Agrabah - Marketplace,3,134,RUBY,3,True,5
Aladdin - Street Rat,1,105,RUBY,3,True,3
Pongo - Determined Father,3,19,AMBER,3,True,4
Magic Broom - Swift Cleaner,3,45,AMETHYST,5,False,1
Maui's Fish Hook,3,132,RUBY,3,True,2
Moana - Of Motunui,1,14,AMBER,5,True,1
Stitch - New Dog,1,22,AMBER,1,True,3
Aladdin - Heroic Outlaw,1,211,RUBY,7,True,1
Grumpy - Bad-Tempered,2,10,AMBER,4,True,3
Judy Hopps - Optimistic Officer,2,152,SAPPHIRE,3,True,2
Prince Eric - Expert Helmsman,3,121,RUBY,4,False,1
Peter Pan - Shadow Finder,4,54,AMETHYST,3,False,1
Robin Hood - Archery Contestant,5,77,EMERALD,2,True,3
Sumerian Talisman,3,133,RUBY,3,True,4
Look at This Family,4,207,AMBER,7,True,1
Simba - Future King,1,188,STEEL,1,True,1
HeiHei - Bumbling Rooster,4,75,EMERALD,3,True,1
Aladdin - Brave Rescuer,4,171,STEEL,3,True,1
Philoctetes - No-Nonsense Instructor,4,190,STEEL,4,True,2
Taffyta Muttonfudge - Crowd Favorite,5,114,RUBY,1,True,3
The Sorcerer's Tower - Wondrous Workspace,3,68,AMETHYST,3,True,1
Jolly Roger - Hook's Ship,3,27,RUBY,1,False,3
Lost in the Woods,4,29,AMBER,4,True,3
Hypnotic Deduction,5,94,EMERALD,2,True,3
Gramma Tala - Storyteller,1,146,SAPPHIRE,2,True,3
Bashful - Hopeless Romantic,2,1,AMBER,4,True,2
Cruella De Vil - Fashionable Cruiser,2,144,SAPPHIRE,2,True,3
The Prince - Never Gives Up,2,195,STEEL,3,True,2
Tiana - Celebrating Princess,2,196,STEEL,4,False,1
Stitch - Rock Star,3,30,AMBER,6,True,1
Daisy Duck - Musketeer Spy,4,7,AMBER,4,True,2
Bruno Madrigal - Undetected Uncle,4,4,AMETHYST,4,True,2
Taffyta Muttonfudge - Sour Speedster,5,117,RUBY,4,True,2
Basil - Practiced Detective,5,153,SAPPHIRE,1,True,2
Archimedes - Electrified Owl,5,208,AMETHYST,5,True,3
Jasper - Common Crook,1,81,EMERALD,3,True,4
Prince Eric - Dashing and Brave,1,187,STEEL,2,True,4
Pluto - Determined Defender,3,17,AMBER,7,True,1
Magic Broom - The Big Sweeper,3,46,AMETHYST,3,True,1
Isabela Madrigal - Golden Child,4,45,AMETHYST,5,True,1
Alan-a-Dale - Rockin' Rooster,5,20,AMBER,4,True,1
Robin Hood - Sneaky Sleuth,5,88,EMERALD,5,True,3
Vanellope von Schweetz - Random Roster Racer,5,124,RUBY,4,False,1
Sleepy - Sluggish Knight,5,177,STEEL,2,True,2
Sneezy - Noisy Knight,5,180,STEEL,4,True,1
Part of Your World,1,30,AMBER,3,False,1
Minnie Mouse - Beloved Princess,1,13,AMBER,2,True,3
Dr. Facilier - Agent Provocateur,1,37,AMETHYST,7,False,1
Beast - Forbidding Recluse,2,171,STEEL,4,True,3
Dalmatian Puppy - Tail Wagger,3,4e,AMBER,2,True,1
Don Karnage - Prince of Pirates,3,71,EMERALD,5,True,4
Aurora - Tranquil Princess,4,141,SAPPHIRE,2,True,4
Triton - Discerning King,4,159,SAPPHIRE,3,False,1
Donald Duck - Daisy's Date,5,122,RUBY,3,True,4
Sheriff of Nottingham - Bushel Britches,5,145,SAPPHIRE,9,False,1
Mouse Armor,2,203,STEEL,2,False,2
Hakuna Matata,1,27,AMBER,4,True,2
Remember Who You Are,5,97,EMERALD,4,False,1
